IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
niri091,0,0,0,n_items: 57; accuracy: 0.7018; avg_rt: 19.0272; var_rt: 448.1787; rt_cv: 1.1126; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5357
baco446,4,4,0,n_items: 57; accuracy: 0.5614; avg_rt: 17.1896; var_rt: 148.5188; rt_cv: 0.7090; longest_correct_streak: 13; longest_incorrect_streak: 10; consecutive_correct_rate: 0.3929
pyqy867,3,6,0,n_items: 57; accuracy: 0.7895; avg_rt: 17.5719; var_rt: 215.1964; rt_cv: 0.8348; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6250
vihu826,5,7,0,n_items: 57; accuracy: 0.7895; avg_rt: 32.4018; var_rt: 1505.2133; rt_cv: 1.1974; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6607
siry766,5,7,0,n_items: 57; accuracy: 0.7193; avg_rt: 33.1670; var_rt: 1264.1237; rt_cv: 1.0720; longest_correct_streak: 13; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5714
qefe646,4,3,1,n_items: 57; accuracy: 0.4561; avg_rt: 19.3166; var_rt: 348.6057; rt_cv: 0.9666; longest_correct_streak: 5; longest_incorrect_streak: 14; consecutive_correct_rate: 0.2857
xamy888,0,5,1,n_items: 57; accuracy: 0.6491; avg_rt: 15.6749; var_rt: 109.5113; rt_cv: 0.6676; longest_correct_streak: 8; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4286
xopa120,2,1,1,n_items: 57; accuracy: 0.2456; avg_rt: 13.4787; var_rt: 148.6487; rt_cv: 0.9045; longest_correct_streak: 7; longest_incorrect_streak: 36; consecutive_correct_rate: 0.1607
node314,0,5,1,n_items: 57; accuracy: 0.6316; avg_rt: 27.0830; var_rt: 636.9025; rt_cv: 0.9318; longest_correct_streak: 14; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4643
johy783,4,3,1,n_items: 57; accuracy: 0.4912; avg_rt: 21.3990; var_rt: 473.9670; rt_cv: 1.0174; longest_correct_streak: 8; longest_incorrect_streak: 6; consecutive_correct_rate: 0.3036
bofi991,4,5,2,n_items: 57; accuracy: 0.6140; avg_rt: 16.5325; var_rt: 166.9370; rt_cv: 0.7815; longest_correct_streak: 12; longest_incorrect_streak: 7; consecutive_correct_rate: 0.4643
nivo041,5,0,2,n_items: 57; accuracy: 0.8070; avg_rt: 24.1457; var_rt: 736.9050; rt_cv: 1.1243; longest_correct_streak: 12; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6786
kuge219,5,2,2,n_items: 57; accuracy: 0.8421; avg_rt: 19.0094; var_rt: 648.2768; rt_cv: 1.3394; longest_correct_streak: 18; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
mefy253,3,6,2,n_items: 57; accuracy: 0.8070; avg_rt: 22.3092; var_rt: 488.1013; rt_cv: 0.9903; longest_correct_streak: 17; longest_incorrect_streak: 4; consecutive_correct_rate: 0.7321
vice024,3,6,2,n_items: 57; accuracy: 0.8246; avg_rt: 9.7990; var_rt: 53.1540; rt_cv: 0.7440; longest_correct_streak: 11; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6964
kuqy630,5,0,3,n_items: 57; accuracy: 0.7895; avg_rt: 25.6120; var_rt: 638.3340; rt_cv: 0.9865; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
tebo981,1,6,3,n_items: 57; accuracy: 0.8421; avg_rt: 14.3375; var_rt: 174.2963; rt_cv: 0.9208; longest_correct_streak: 31; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
kula014,1,6,3,n_items: 57; accuracy: 0.8421; avg_rt: 19.4667; var_rt: 210.8505; rt_cv: 0.7459; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
zipu412,3,9,3,n_items: 57; accuracy: 0.7895; avg_rt: 11.9804; var_rt: 120.5138; rt_cv: 0.9163; longest_correct_streak: 18; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
lilo882,3,0,3,n_items: 57; accuracy: 0.7544; avg_rt: 19.1615; var_rt: 287.1404; rt_cv: 0.8843; longest_correct_streak: 14; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5893
wumu083,1,2,4,n_items: 57; accuracy: 0.8772; avg_rt: 21.6014; var_rt: 432.0239; rt_cv: 0.9622; longest_correct_streak: 25; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7857
tosa657,1,6,4,n_items: 57; accuracy: 0.8421; avg_rt: 11.9142; var_rt: 122.2048; rt_cv: 0.9279; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7321
nasi298,1,2,4,n_items: 57; accuracy: 0.8772; avg_rt: 16.1142; var_rt: 251.7385; rt_cv: 0.9846; longest_correct_streak: 31; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7857
vate767,3,6,4,n_items: 57; accuracy: 0.7895; avg_rt: 14.0777; var_rt: 187.3720; rt_cv: 0.9723; longest_correct_streak: 20; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6429
vane668,1,2,4,n_items: 57; accuracy: 0.8772; avg_rt: 27.2092; var_rt: 701.0984; rt_cv: 0.9731; longest_correct_streak: 23; longest_incorrect_streak: 2; consecutive_correct_rate: 0.8036
