IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,3,3
pivi588,1,1,1
weda047,2,1,1
zoka501,3,4,4
hyku415,4,0,0
syvi476,5,3,3
kuqy630,6,1,1
node314,7,2,2
mybu425,8,5,5
pyqy867,9,1,1
tywo507,10,1,1
nuhi137,11,3,3
vuho146,12,3,3
nysa238,13,3,3
kisa730,14,0,0
doza768,15,3,3
sapu497,16,3,3
dila385,17,5,5
pymu787,18,2,2
bejy525,19,0,0
bajo794,20,5,5
dugu064,21,2,2
hiwu738,22,1,1
zucy684,23,1,1
huxe147,24,3,3
woza563,25,3,3
neku787,26,5,5
navo572,27,3,3
gola051,28,4,4
pyzo535,29,3,3
xoky149,30,0,0
loxu319,31,1,1
qisu640,32,2,2
gery678,33,3,3
huho039,34,0,0
wozo826,35,3,3
soru820,36,3,3
fari709,37,2,2
qapo730,38,3,3
najy705,39,2,2
sejy814,40,1,1
laze716,41,5,5
kojo378,42,3,3
tepu554,43,1,1
dyva324,44,2,2
pusu302,45,3,3
xamy888,46,2,2
ninu744,47,3,3
punu537,48,4,4
zufa556,49,2,2
losy787,50,3,3
fuxa711,51,2,2
myzo000,52,0,0
jygo886,53,3,3
dyzo734,54,3,3
ciky680,55,1,1
nopo152,56,2,2
tivy194,57,3,3
biry098,58,3,3
tebo981,59,1,1
jyma323,60,5,5
cani065,61,1,1
puxi257,62,3,3
jemy201,63,4,4
woqa919,64,0,0
huze427,65,3,3
jaxe723,66,1,1
xamy676,67,2,2
lowy720,68,0,0
mixa281,69,2,2
sipy389,70,3,3
bube109,71,5,5
boqe999,72,1,1
guzo911,73,0,0
guxe800,74,0,0
dove442,75,5,5
zivi062,76,2,2
lury747,77,2,2
tuve726,78,0,0
vihu826,79,1,1
hata313,80,2,2
hoki309,81,2,2
kyzy131,82,2,2
syti148,83,5,5
syco853,84,1,1
sefy975,85,2,2
jese656,86,1,1
guge611,87,3,3
mesi806,88,3,3
sesi698,89,1,1
gopa505,90,0,0
duwi894,91,1,1
hasa034,92,0,0
pile112,93,1,1
sivi804,94,3,3
maho931,95,2,2
waho571,96,3,3
mowy859,97,3,3
rihi168,98,3,3
siry766,99,0,0
qefe646,100,2,2
zojo883,101,1,1
dero258,102,1,1
mika525,103,2,2
xohi599,104,1,1
tebe135,105,3,3
naso669,106,3,3
qecu035,107,1,1
zywy107,108,0,0
cave700,109,2,2
